number,content,correct_answer,image_url,choice_1,choice_2,choice_3,choice_4,explanation_url
11,"自然数nに対して，次のとおり再帰的に定義される関数f(n)を考える。f(5)の値はどれか。
f(n)：if n≦1 then return 1 else return n＋f(n－1)",ウ,,6,9,15,25,
12,1GHzのクロックで動作するCPUがある。このCPUは，機械語の1命令を平均0.8クロックで実行できることが分かっている。このCPUは1秒間に平均何万命令を実行できるか。,エ,,125,250,"80,000","125,000",
13,メイン処理，及び表に示す二つの割込みA，Bの処理があり，多重割込みが許可されている。割込みA，Bが図のタイミングで発生するとき，0ミリ秒から5ミリ秒までの間にメイン処理が利用できるCPU時間は何ミリ秒か。ここで，割込み処理の呼出し及び復帰に伴うオーバヘッドは無視できるものとする。,ア,[IMAGE_HERE],2,2.5,3.5,5,
14,次に示す接続のうち，デイジーチェーンと呼ばれる接続方法はどれか。,イ,,PCと計測機器とをRS-232Cで接続し，PCとプリンタとをUSBを用いて接続する。,Thunderbolt接続ポートが2口ある4Kディスプレイ2台を，PCのThunderbolt接続ポートから1台目のディスプレイにケーブルで接続し，さらに，1台目のディスプレイと2台目のディスプレイとの間をケーブルで接続する。,キーボード，マウス及びプリンタをUSBハブにつなぎ，USBハブとPCとを接続する。,数台のネットワークカメラ及びPCをネットワークハブに接続する。,
15,RAIDの分類において，ミラーリングを用いることで信頼性を高め，障害発生時には冗長ディスクを用いてデータ復元を行う方式はどれか。,ア,,RAID1,RAID2,RAID3,RAID4,
16,2台の処理装置から成るシステムがある。少なくともいずれか一方が正常に動作すればよいときの稼働率と，2台とも正常に動作しなければならないときの稼働率の差は幾らか。ここで，処理装置の稼働率はいずれも0.9とし，処理装置以外の要因は考慮しないものとする。,ウ,,0.09,0.1,0.18,0.19,
17,図の送信タスクから受信タスクにT秒間連続してデータを送信する。1秒当たりの送信量をS，1秒当たりの受信量をRとしたとき，バッファがオーバフローしないバッファサイズLを表す関係式として適切なものはどれか。ここで，受信タスクよりも送信タスクの方が転送速度は速く，次の転送開始までの時間間隔は十分にあるものとする。,エ,[IMAGE_HERE],L＜（R－S）×T,L＜（S－R）×T,L≧（R－S）×T,L≧（S－R）×T,
18,優先度に基づくプリエンプティブなスケジューリングを行うリアルタイムOSで，二つのタスクA，BをスケジューリングするAの方がBよりも優先度が高い場合にリアルタイムOSが行う動作のうち，適切なものはどれか。,ウ,,Aの実行中にBに起動がかかると，Aを実行可能状態にしてBを実行する。,Aの実行中にBに起動がかかると，Aを待ち状態にしてBを実行する。,Bの実行中にAに起動がかかると，Bを実行可能状態にしてAを実行する。,Bの実行中にAに起動がかかると，Bを待ち状態にしてAを実行する。,
19,バックアップ方式の説明のうち，増分バックアップはどれか。ここで，最初のバックアップでは，全てのファイルのバックアップを取得し，OSが管理しているファイル更新を示す情報はリセットされるものとする。,ウ,,最初のバックアップの後，ファイル更新を示す情報があるファイルだけをバックアップし，ファイル更新を示す情報は変更しないでそのまま残しておく。,最初のバックアップの後，ファイル更新を示す情報にかかわらず，全てのファイルをバックアップし，ファイル更新を示す情報はリセットする。,直前に行ったバックアップの後，ファイル更新を示す情報があるファイルだけをバックアップし，ファイル更新を示す情報はリセットする。,直前に行ったバックアップの後，ファイル更新を示す情報にかかわらず，全てのファイルをバックアップし，ファイル更新を示す情報は変更しないでそのまま残しておく。,
20,DRAMの特徴はどれか。,エ,,書込み及び消去を一括又はブロック単位で行う。,データを保持するためのリフレッシュ操作又はアクセス操作が不要である。,電源が遮断された状態でも，記憶した情報を保持することができる。,メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。,
21,クロックの立上りエッジで，8ビットのシリアル入力パラレル出力シフトレジスタの内容を上位方向へシフトすると同時に正論理のデータをレジスタの最下位ビットに取り込む。また，ストローブの立上りエッジで値を確定する。各信号の波形を観測した結果が図のとおりであるとき，確定後のシフトレジスタの値はどれか。ここで，数値は16進数で表記している。,イ,[IMAGE_HERE],63,8D,B1,C6,
22,次の回路の入力と出力の関係として，正しいものはどれか。,イ,[IMAGE_HERE],"A=0,B=0→X=0 / A=0,B=1→X=0 / A=1,B=0→X=0 / A=1,B=1→X=1","A=0,B=0→X=0 / A=0,B=1→X=1 / A=1,B=0→X=1 / A=1,B=1→X=0","A=0,B=0→X=1 / A=0,B=1→X=0 / A=1,B=0→X=0 / A=1,B=1→X=0","A=0,B=0→X=1 / A=0,B=1→X=1 / A=1,B=0→X=1 / A=1,B=1→X=0",
23,コードから商品の内容が容易に分かるようにしたいとき，どのコード体系を選択するのが適切か。,ウ,,区分コード,桁別コード,表意コード,連番コード,
24,H.264/MPEG-4 AVCの説明として，適切なものはどれか。,エ,,5.1チャンネルサラウンドシステムで使用されている音声圧縮技術,携帯電話で使用されている音声圧縮技術,ディジタルカメラで使用されている静止画圧縮技術,ワンセグ放送で使用されている動画圧縮技術,
25,UMLを用いて表した図の概念データモデルの解釈として，適切なものはどれか。（部署 1..* ◄所属する 0..* 従業員）,イ,[IMAGE_HERE],従業員の総数と部署の総数は一致する。,従業員は，同時に複数の部署に所属してもよい。,所属する従業員がいない部署の存在は許されない。,どの部署にも所属しない従業員が存在してもよい。,
26,"""得点""表から，学生ごとに全科目の点数の平均を算出し，平均が80点以上の学生の学生番号とその平均点を求める。aに入れる適切な字句はどれか。ここで，実線の下線は主キーを表す。
得点（学生番号，科目，点数）
[SQL文]
SELECT 学生番号，AVG(点数)
FROM 得点
GROUP BY [a]",ウ,,科目 HAVING AVG(点数) >= 80,科目 WHERE 点数 >= 80,学生番号 HAVING AVG(点数) >= 80,学生番号 WHERE 点数 >= 80,
27,関係モデルにおいて，関係から特定の属性だけを取り出す演算はどれか。,イ,,結合（join）,射影（projection）,選択（selection）,和（union）,
28,一つのトランザクションはトランザクションを開始した後，五つの状態（アクティブ，アボート処理中，アボート済，コミット処理中，コミット済）を取り得るものとする。このとき，取ることのない状態遷移はどれか。,イ,,遷移前：アボート処理中 → 遷移後：アボート済,遷移前：アボート処理中 → 遷移後：コミット処理中,遷移前：コミット処理中 → 遷移後：アボート処理中,遷移前：コミット処理中 → 遷移後：コミット済,
29,2相ロッキングプロトコルに従ってロックを獲得するトランザクションA，Bを図のように同時実行した場合に，デッドロックが発生しないデータ処理順序はどれか。ここで，readとupdateの位置は，アプリケーションプログラムでの命令発行時点を表す。また，データWへのreadは共有ロックを要求し，データX，Y，Zへのupdateは各データへの専有ロックを要求する。,ウ,[IMAGE_HERE],①read W　②update Y　③update X　④update Z,①read W　②update Y　③update Z　④update X,①update X　②read W　③update Y　④update Z,①update Y　②update Z　③update X　④read W,
30,10Mビット／秒の回線で接続された端末間で，平均1Mバイトのファイルを，10秒ごとに転送するときの回線利用率は何%か。ここで，ファイル転送時には，転送量の20%が制御情報として付加されるものとし，1Mビット＝10⁶ビットとする。,エ,,1.2,6.4,8,9.6,
31,CSMA/CD方式のLANに接続されたノードの送信動作として，適切なものはどれか。,イ,,各ノードに論理的な順位付けを行い，送信権を順次受け渡し，これを受け取ったノードだけが送信を行う。,各ノードは伝送媒体が使用中かどうかを調べ，使用中でなければ送信を行う。衝突を検出したらランダムな時間の経過後に再度送信を行う。,各ノードを環状に接続して，送信権を制御するための特殊なフレームを巡回させ，これを受け取ったノードだけが送信を行う。,タイムスロットを割り当てられたノードだけが送信を行う。,
32,メディアコンバータ，リピータハブ，レイヤ2スイッチ，レイヤ3スイッチのうち，レイヤ3スイッチだけがもつ機能はどれか。,イ,,データリンク層において，宛先アドレスに従って適切なLANポートにパケットを中継する機能,ネットワーク層において，宛先アドレスに従って適切なLANポートにパケットを中継する機能,物理層において，異なる伝送媒体を接続し，信号を相互に変換する機能,物理層において，入力信号を全てのLANポートに対して中継する機能,
33,LANに接続されている複数のPCをインターネットに接続するシステムがあり，装置AのWAN側インタフェースには1個のグローバルIPアドレスが割り当てられている。この1個のグローバルIPアドレスを使って複数のPCがインターネットを利用するのに必要な装置Aの機能はどれか。,イ,[IMAGE_HERE],DHCP,NAPT（IPマスカレード）,PPPoE,パケットフィルタリング,
34,クライアントAがポート番号8080のHTTPプロキシサーバBを経由してポート番号80のWebサーバCにアクセスしているとき，宛先ポート番号が常に8080になるTCPパケットはどれか。,イ,,AからBへのHTTP要求及びCからBへのHTTP応答,AからBへのHTTP要求だけ,BからAへのHTTP応答だけ,BからCへのHTTP要求及びCからBへのHTTP応答,
35,攻撃者が用意したサーバXのIPアドレスが，A社WebサーバのFQDNに対応するIPアドレスとして，B社DNSキャッシュサーバに記憶された。これによって，意図せずサーバXに誘導されてしまう利用者はどれか。ここで，A社，B社の各従業員は自社のDNSキャッシュサーバを利用して名前解決を行う。,イ,,A社WebサーバにアクセスしようとするA社従業員,A社WebサーバにアクセスしようとするB社従業員,B社WebサーバにアクセスしようとするA社従業員,B社WebサーバにアクセスしようとするB社従業員,
36,マルウェアの動的解析に該当するものはどれか。,イ,,検体のハッシュ値を計算し，オンラインデータベースに登録された既知のマルウェアのハッシュ値のリストと照合してマルウェアを特定する。,検体をサンドボックス上で実行し，その動作や外部との通信を観測する。,検体をネットワーク上の通信データから抽出し，さらに，逆コンパイルして取得したコードから検体の機能を調べる。,ハードディスク内のファイルの拡張子とファイルヘッダの内容を基に，拡張子が偽装された不正なプログラムファイルを検出する。,
37,WPA3はどれか。,エ,,HTTP通信の暗号化規格,TCP/IP通信の暗号化規格,Webサーバで使用するディジタル証明書の規格,無線LANのセキュリティ規格,
38,メッセージにRSA方式のディジタル署名を付与して2者間で送受信する。そのときのディジタル署名の検証鍵と使用方法はどれか。,ウ,,受信者の公開鍵であり，送信者がメッセージダイジェストからディジタル署名を作成する際に使用する。,受信者の秘密鍵であり，受信者がディジタル署名からメッセージダイジェストを算出する際に使用する。,送信者の公開鍵であり，受信者がディジタル署名からメッセージダイジェストを算出する際に使用する。,送信者の秘密鍵であり，送信者がメッセージダイジェストからディジタル署名を作成する際に使用する。,
39,情報セキュリティにおいてバックドアに該当するものはどれか。,ア,,アクセスする際にパスワード認証などの正規の手続が必要なWebサイトに，当該手続を経ないでアクセス可能なURL,インターネットに公開されているサーバのTCPポートの中からアクティブになっているポートを探して，稼働中のサービスを特定するためのツール,ネットワーク上の通信パケットを取得して通信内容を見るために設けられたスイッチのLANポート,プログラムが確保するメモリ領域に，領域の大きさを超える長さの文字列を入力してあふれさせ，ダウンさせる攻撃,
40,ファイルの提供者は，ファイルの作成者が作成したファイルAを受け取り，ファイルAと，ファイルAにSHA-256を適用して算出した値BとをPDF利用者に送信する。そのとき，利用者が情報セキュリティ上実現できることはどれか。ここで，利用者が受信した値BはファイルAの提供者から事前に電話で直接伝えられた値と同じであり，改ざんされていないことが確認できているものとする。,ウ,,値BにSHA-256を適用して値BからディジタルP署名を算出し，そのディジタル署名を検証することによって，ファイルAの作成者を確認できる。,値BにSHA-256を適用して値BからディジタルP署名を算出し，そのディジタル署名を検証することによって，ファイルAの提供者がファイルAの作成者であるかどうかを確認できる。,ファイルAにSHA-256を適用して値を算出し，その値と値Bを比較することによって，ファイルAの内容が改ざんされていないかどうかを検証できる。,ファイルAの内容が改ざんされていても，ファイルAにSHA-256を適用して値を算出し，その値と値Bの差分を確認することによって，ファイルAの内容のうち改ざんされている部分を修復できる。,
41,検索サイトの検索結果の上位に悪意のあるサイトが表示されるように細工する攻撃の名称はどれか。,イ,,DNSキャッシュポイズニング,SEOポイズニング,クロスサイトスクリプティング,ソーシャルエンジニアリング,
42,1台のファイアウォールによって，外部セグメント，DMZ，内部セグメントの三つのセグメントに分割されたネットワークがあり，このネットワークにおいて，WebサーバとP重要なデータをもつデータベースサーバから成るシステムを使って，利用者向けのWebサービスをインターネットに公開する。インターネットからの不正アクセスから重要なデータを保護するためのサーバの設置方法のうち，最も適切なものはどれか。ここで，WebサーバはデータベースサーバのフロントエンドP処理を行い，ファイアウォールでは，外部セグメントとDMZとの間，及びDMZと内部セグメントとの間の通信は特定のプロトコルだけを許可し，外部セグメントと内部セグメントとの間の直接の通信は許可しないものとする。,ウ,,WebサーバとデータベースサーバをDMZに設置する。,WebサーバとデータベースサーバをP内部セグメントに設置する。,WebサーバをDMZに，データベースサーバを内部セグメントに設置する。,Webサーバを外部セグメントに，データベースサーバをDMZに設置する。,
43,SIEM（Security Information and Event Management）の機能はどれか。,イ,,隔離された仮想環境でファイルを実行して，C&CサーバへのP通信などの振る舞いを監視する。,様々な機器から集められたログを総合的に分析し，管理者によるP分析と対応を支援する。,ネットワーク上の様々な通信機器を集中的に制御し，ネットワーク構成やセキュリティ設定などを変更する。,パケットのヘッダ情報の検査だけではなく，通信先のアプリケーションプログラムを識別して通信を制御する。,
44,電子メールをドメインAの送信者がドメインBの宛先に送信するとき，送信者をドメインAのメールサーバで認証するためのものはどれか。,エ,,APOP,POP3S,S/MIME,SMTP-AUTH,
45,"図は，構造化分析法で用いられるDFDの例である。図中の""○""が表しているものはどれか。",エ,[IMAGE_HERE],アクティビティ,データストア,データフロー,プロセス,
46,モジュール結合度が最も弱くなるものはどれか。,イ,,一つのモジュールで，できるだけ多くの機能を実現する。,二つのモジュール間で必要なデータ項目だけを引数として渡す。,他のモジュールとデータ項目を共有するためにグローバルな領域を使用する。,他のモジュールを呼び出すときに，呼び出したモジュールの論理を制御するための引数を渡す。,
47,エラー埋込法において，埋め込まれたエラー数をS，埋め込まれたエラーのうち発見されたエラー数をm，埋め込まれたエラーを含まないテスト開始前の潜在エラー数をT，発見された総エラー数をnとしたとき，S，T，m，nの関係を表す式はどれか。,ア,,m/S = (n－m)/T,m/S = T/(n－m),m/S = n/T,m/S = T/n,
48,テストで使用するスタブ又はドライバの説明のうち，適切なものはどれか。,エ,,スタブは，テスト対象モジュールからの戻り値の表示・印刷を行う。,スタブは，テスト対象モジュールを呼び出すモジュールである。,ドライバは，テスト対象モジュールから呼び出されるモジュールである。,ドライバは，引数を渡してテスト対象モジュールを呼び出す。,
49,単一の入り口をもち，入力項目を用いた複数の判断を含むプログラムのテストケースを設計する。命令網羅と判定条件網羅の関係のうち，適切なものはどれか。,イ,,判定条件網羅を満足しても，命令網羅を満足しない場合がある。,判定条件網羅を満足するならば，命令網羅も満足する。,命令網羅を満足しなくても，判定条件網羅を満足する場合がある。,命令網羅を満足するならば，判定条件網羅も満足する。,
50,XP（eXtreme Programming）において，プラクティスとして提唱されているものはどれか。,ウ,,インスペクション,構造化設計,ペアプログラミング,ユースケースの活用,
51,"二つのアクティビティが次の関係にあるとき，論理的な依存関係はどれか。
""システム要件定義プロセス""が完了すれば，""システム方式設計プロセス""が開始できる。",イ,,FF関係（Finish-to-Finish）,FS関係（Finish-to-Start）,SF関係（Start-to-Finish）,SS関係（Start-to-Start）,
52,あるプロジェクトの日程計画をアローダイアグラムで示す。クリティカルパスはどれか。,ウ,[IMAGE_HERE],A，C，E，F,A，D，G,B，E，F,B，E，G,
53,ソフトウェア開発の見積方法の一つであるファンクションポイント法の説明として，適切なものはどれか。,ウ,,開発規模が分かっていることを前提として，工数と工期を見積もる方法である。ビジネス分野に限らず，全分野に適用可能である。,過去に経験した類似のソフトウェアについてのデータを基にして，ソフトウェアの相違点を調べ，同じ部分については過去のデータを使い，異なった部分は経験に基づいて，規模と工数を見積もる方法である。,ソフトウェアの機能を入出力データ数やファイル数などによって定量的に計測し，複雑さによる調整を行って，ソフトウェア規模を見積もる方法である。,単位作業項目に適用する作業量の基準値を決めておき，作業項目を単位作業項目まで分解し，基準値を適用して算出した作業量の積算で全体の作業量を見積もる方法である。,
54,"10人のメンバで構成されているプロジェクトチームにメンバ2人を増員する。次の条件でメンバ同士が打合せを行う場合，打合せの回数は何回増えるか。
〔条件〕・打合せは1対1で行う。・各メンバが，他の全てのメンバと1回ずつ打合せを行う。",イ,,12,21,22,42,
55,サービスマネジメントシステムにPDCA方法論を適用するとき，Actに該当するものはどれか。,イ,,サービスの設計，移行，提供及び改善のためにサービスマネジメントシステムを導入し，運用する。,サービスマネジメントシステム及びサービスのパフォーマンスを継続的に改善するための処置を実施する。,サービスマネジメントシステムを確立し，文書化し，合意する。,方針，目的，計画及びサービスの要求事項について，サービスマネジメントシステム及びサービスを監視，測定及びレビューし，それらの結果を報告する。,
56,システムの移行計画に関する記述のうち，適切なものはどれか。,ア,,移行計画書には，移行作業が失敗した場合に旧システムに戻す際の判断基準が必要である。,移行するデータ量が多いほど，切替え直前に一括してデータの移行作業を実施すべきである。,新旧両システムで環境の一部を共有することによって，移行の確認が容易になる。,新旧両システムを並行運用することによって，移行に必要な費用が低減できる。,
57,"事業継続計画で用いられる用語であり，インシデントの発生後，次のいずれかの事項までに要する時間を表すものはどれか。
(1)製品又はサービスが再開される。
(2)事業活動が再開される。
(3)資源が復旧される。",エ,,MTBF,MTTR,RPO,RTO,
58,システムテストの監査におけるチェックポイントのうち，最も適切なものはどれか。,ア,,テストケースが網羅的に想定されていること,テスト計画は利用者側の責任者だけで承認されていること,テストは実際に業務が行われている環境で実施されていること,テストは利用者側の担当者だけで行われていること,
59,情報システム部が開発して経理部が運用している会計システムの運用状況を，経営者からの指示で監査することになった。この場合におけるシステム監査人についての記述のうち，最も適切なものはどれか。,エ,,会計システムは企業会計に関する各種基準に準拠すべきなので，システム監査人を公認会計士とする。,会計システムは機密性の高い情報を扱うので，システム監査人は経理部長直属とする。,システム監査を効率的に行うために，システム監査人は情報システム部長直属とする。,独立性を担保するために，システム監査人は情報システム部にも経理部にも所属しない者とする。,
60,アクセス制御を監査するシステム監査人の行為のうち，適切なものはどれか。,イ,,ソフトウェアに関するアクセス制御の管理台帳を作成し，保管した。,データに関するアクセス制御の管理規程を閲覧した。,ネットワークに関するアクセス制御の管理方針を制定した。,ハードウェアに関するアクセス制御の運用手続を実施した。,
61,情報化投資において，リスクや投資価値の類似性でカテゴリ分けし，最適な資源配分を行う際に用いる手法はどれか。,イ,,3C分析,ITポートフォリオ,エンタープライズアーキテクチャ,ベンチマーキング,
62,自社の経営課題である人手不足の解消などを目標とした業務革新を進めるために活用する，RPAの事例はどれか。,ア,,業務システムなどのデータ入力，照合のような標準化された定型作業を，事務職員の代わりにソフトウェアで自動的に処理する。,製造ラインで部品の組立てに従事していた作業員の代わりに組立作業用ロボットを配置する。,人が接客して販売を行っていた店舗を，ICタグ，画像解析のためのカメラ，電子決済システムによる無人店舗に置き換える。,フォークリフトなどを用いて人の操作で保管商品を搬入・搬出していたものを，コンピュータ制御で無人化した自動倉庫システムに置き換える。,
63,企業がマーケティング活動に活用するビッグデータの特徴に沿った取扱いとして，適切なものはどれか。,イ,,ソーシャルメディアで個人が発信する商品のクレーム情報などの，不特定多数によるデータは処理の対象にすべきではない。,蓄積した静的なデータだけでなく，Webサイトのアクセス履歴などリアルタイム性の高いデータも含めて処理の対象とする。,データ全体から無作為にデータをサンプリングして，それらを分析することによって全体の傾向を推し量る。,データの正規化が難しい非構造化データである音声データや画像データは，処理の対象にすべきではない。,
64,システム開発の上流工程において，システム稼働後に発生する可能性がある個人情報の漏えいや目的外利用などのリスクに対する予防的な機能を検討し，その機能をシステムに組み込むものはどれか。,ウ,,情報セキュリティ方針,セキュリティレベル,プライバシーバイデザイン,プライバシーマーク,
65,非機能要件の定義で行う作業はどれか。,イ,,業務を構成する機能間の情報（データ）の流れを明確にする。,システム開発で用いるプログラム言語に合わせた開発基準，標準の技術要件を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,
66,リレーションシップマーケティングの説明はどれか。,ア,,顧客との良好な関係を維持することで個々の顧客から長期間にわたって安定した売上を獲得することを目指すマーケティング手法,数時間から数日間程度の短期間の時間制限を設け，その時間内だけネット上で商品を販売するマーケティング手法,スマートフォンのGPS機能を利用し，現在地に近い店舗の広告を配信するマーケティング手法,テレビ，新聞，雑誌などの複数のメディアを併用し，消費者への多角的なアプローチを目指すマーケティング手法,
67,バランススコアカードの内部ビジネスプロセスの視点における戦略目標と業績評価指標の例はどれか。,エ,,持続的成長が目標であるので，受注残を指標とする。,主要顧客との継続的な関係構築が目標であるので，クレーム件数を指標とする。,製品開発力の向上が目標であるので，製品開発領域の研修受講時間を指標とする。,製品の製造の生産性向上が目標であるので，製造期間短縮日数を指標とする。,
68,技術経営におけるプロダクトイノベーションの説明として，適切なものはどれか。,ア,,新たな商品や他社との差別化ができる商品を開発すること,技術開発の成果によって事業利益を獲得すること,技術を核とするビジネスを戦略的にマネジメントすること,業務プロセスにおいて革新的な改革をすること,
69,ディジタルディバイドを説明したものはどれか。,エ,,PCなどの情報通信機器の利用方法が分からなかったり，情報通信機器を所有していなかったりして，情報の入手が困難な人々のことである。,高齢者や障害者の情報通信の利用面での困難が，社会的又は経済的な格差につながらないように，誰もが情報通信を利活用できるように整備された環境のことである。,情報通信機器やソフトウェア，情報サービスなどを，高齢者・障害者を含む全ての人が利用可能であるか，利用しやすくなっているかの度合いのことである。,情報リテラシの有無やITの利用環境の相違などによって生じる，社会的又は経済的な格差のことである。,
70,"""かんばん方式""を説明したものはどれか。",ウ,,各作業の効率を向上させるために，仕様が統一された部品，半製品を調達する。,効率よく部品調達を行うために，関連会社から部品を調達する。,中間在庫を極力減らすために，生産ラインにおいて，後工程の生産に必要な部品だけを前工程から調達する。,より品質が高い部品を調達するために，部品の納入指定業者を複数定め，競争入札で部品を調達する。,
71,ブロックチェーンによって実現されている仮想通貨マイニングの説明はどれか。,ア,,仮想通貨取引の確認や記録の計算作業に参加し，報酬として仮想通貨を得る。,仮想通貨を売買することによってキャピタルゲインを得る。,個人や組織に対して，仮想通貨による送金を行う。,実店舗などで仮想通貨を使った支払や決済を行う。,
72,インターネットを活用した仕組みのうち，クラウドファンディングを説明したものはどれか。,ア,,Webサイトに公表されたプロジェクトの事業計画に協賛して，そのリターンとなる製品や権利の入手を期待する不特定多数の個人から小口資金を調達すること,WebサイトのP閲覧者が掲載広告からリンク先のECサイトで商品を購入した場合，広告主からそのWebサイト運営者に成果報酬を支払うこと,企業などが，委託したい業務内容を，WebサイトでP不特定多数の人に告知して募集し，適任と判断した人々に当該業務を発注すること,複数のアカウント情報をあらかじめ登録しておくことによって，一度の認証で複数の金融機関の口座取引情報を一括して表示する個人向けWebサービスのこと,
73,生産現場における機械学習の活用事例として，適切なものはどれか。,ウ,,工場における不良品の発生原因をツリー状に分解して整理し，アナリストが統計的にその原因や解決策を探る。,工場の生産設備を高速通信で接続し，ホストコンピュータがリアルタイムで制御できるようにする。,工場の生産ロボットに対して作業方法をプログラミングするのではなく，ロボット自らが学んで作業の効率を高める。,累積生産量が倍増するたびに工場従業員の生産性が向上し，一定の比率で単位コストが減少する。,
74,BCP（事業継続計画）の策定，運用に関する記述として，適切なものはどれか。,エ,,ITに依存する業務の復旧は，技術的に容易であることを基準に優先付けする。,計画の内容は，経営戦略上の重要事項となるので，上級管理者だけに周知する。,計画の内容は，自社組織が行う範囲に限定する。,自然災害に加え，情報システムの機器故障やマルウェア感染も検討範囲に含める。,
75,CIOの果たすべき役割はどれか。,ウ,,各部門の代表として，自部門のシステム化案を情報システム部門に提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,
76,"製品X及びYを生産するために2種類の原料A，Bが必要である。製品1個の生産に必要となる原料の量と調達可能量は表に示すとおりである。製品XとYの1個当たりの販売利益が，それぞれ100円，150円であるとき，最大利益は何円か。
原料A：製品X=2，製品Y=1，調達可能量=100
原料B：製品X=1，製品Y=2，調達可能量=80",ウ,,"5,000","6,000","7,000","8,000",
77,ROIを説明したものはどれか。,ウ,,一定期間におけるキャッシュフロー（インフロー，アウトフロー含む）に対して，現在価値でのキャッシュフローの合計値を求めるものである。,一定期間におけるキャッシュフロー（インフロー，アウトフロー含む）に対して，合計値がゼロとなるような，割引率を求めるものである。,投資額に見合うリターンが得られるかどうかを，利益額を分子に，投資額を分母にして算出するものである。,投資による実現効果によって，投資額をどれだけの期間で回収可能かを定量的に算定するものである。,
78,売上高が100百万円のとき，変動費が60百万円，固定費が30百万円掛かる。変動費率，固定費は変わらないものとして，目標利益18百万円を達成するのに必要な売上高は何百万円か。,イ,,108,120,156,180,
79,シュリンクラップ契約において，ソフトウェアの使用許諾契約が成立するのはどの時点か。,ウ,,購入したソフトウェアの代金を支払った時点,ソフトウェアの入ったDVD-ROMを受け取った時点,ソフトウェアの入ったDVD-ROMの包装を解いた時点,ソフトウェアをPCにインストールした時点,
80,ソフトウェアやデータに瑕疵がある場合に，製造物責任法の対象となるものはどれか。,ア,,ROM化したソフトウェアを内蔵した組込み機器,アプリケーションソフトウェアパッケージ,利用者がPCにインストールしたOS,利用者によってネットワークからダウンロードされたデータ,
