"number","content"
"13","メイン処理及び表に示す二つの割込みＡ，Ｂの処理があり.多重割込みが許可
割込みＡ,０ミリ秒から５ミリ秒とれている。Ｂが図のタイミングで発生するとき。
CPU時間は何ミリ秒か。割込み処理のまでの間にメイン処理が利用できるここで,
呼出し及び復帰に伴うオ一パへツドは無視できるものとする。
(ミリ秒)割込み処理時間割込み優先度
05Ａ
割込みＡの発生
割込みＢの発生
時間(ミリ秒)
は,割込みの発生タイミングを示す。注記
ウ3.52.5
デイジーチェーンと呼ばれる接続方法はどれか。"
"14","次に示す接続のうち;
アで接続しＰCとプリンタとを USBを用いて接続すPCと計測機器とをRS-232C
る。
Thunderbolt4ディスプレイ２台を,PCの接続ポートが２ロある」Thunderbolt
台目のデさらに,1接続ポートから1台目のディスプレイにケーブルで接続し;
イスプレイと２台目のディスプレイとの間をケーブルで接続する。
USBハブとＰCとを接マウス及びプリンタをUSBハブにつなぎ,キーボード・
ウ
続する。
数台のネットワークカメラ及びPCをネットワークハブに接続する
障害発生時にミラーリングを用いるコとで信頼性を高め,RAIDの分類において,"
"15","は冗長ディスクを用いてデータ復元を行う方式はどれか。
エRAID4ウRAID3RAID1イRAID2
少なくともいずれか一方が正常に動作"
"16","台の処理装置から成るシステムがある。2
すればよいときの稼働率と，２台とも正常に動作しなければならないときの稼働率
処理装置以外の要の差は幾らか。O.９ とし,処理装置の稼働率はいずれもここで,
因は考慮しないものとする。
ウ0.18エ0.19ア10.100.09
秒間連続してデータを送信する。ユ秒当たり"
"17","図の送信タスクから受信タスクに7.
の送信量をＳ、１秒当たりの受信量をＲとしたとき。バッファがオーバフローしな
受信タスクい`バツフアサイズレを表す関係式として適切なものはどれか。ここで,
次の転送開始までの時間間隔は十分にあよリも送信夕スクの方が転送速度は速く・
るものとする。
バッファ
受信タスク送信タスク
サイズ・
エ
-Lく(S-R）XT
ア LL（R-S）ＸT
LＥ(Ｓ-R）又TウLZ（RーS）XT
10
優先度に基づくプリェンプティブなスケジューリングを行うリアルタイム OS-で"
"18","二つのタスクＡ，Ｂをスケジューリングする。Ａの方がＢよリも優先度が高い場合
にリアルタイム0Sが行う動作のうち,適切なものはどれか
Ａを実行可能状態にしてＢを実行する。Ａの実行中にＢに起動がかかると;
ア
Ａの実行中にＢに起動がかかると,Ａを待ち状態にしてＢを実行する。」
ウＢを実行可能状態にしてＡを実行するＢの実行中にＡに起動がかかると。
Ｂを待ち状態にしてＡを実行するBの実行中にＡに起動がかかると。
最初のバここで,バックアップ方式の説明のうち;増分バックアップはどれか。"
"19","が管理しているフア全てのファイルのバックアップを取得し,OSツクアツプでは,
イル更新を示す情報はリセットされるものとする。
ファイル更新を示す情報があるファイルだけをバ・最初のバックアップの後,」
ファイル更新を示す情報は変更しないでそのまま残しておく。クアツプし,
全てのフアファイル更新を示す情報にかかわらず。最初のバックアップの後、」
イルをバックアップし・ファイル更新を示す情報はリセットする。
ファイル更新を示す情報があるフアイルだけウ直前に行ったバックアップの後、
をバックアップし,ファイル更新を示す情報はリセットする。
全てファイル更新を示す情報にかかわらず。直前に行ったバックアップの後、
ファイル更新を示す情報は変更しないでそのままのフアイルをバツクアツプし・
残しておく。"
"20","DRAMCの特徴はどれか
書込み及び消去を一括又はブロック単位で行う。
データを保持するためのリラレッシュ操作又はアクセス操作が不要である
電源が遮断された状態でも。記憶した情報を保持することができる
-メモリセル構造が単純なので高集積化することができ。ビット単価を安くでき"
"21","クロックの立上リエッジで,８ビットのシリアル入カパラレル出カシフトレジス
タの内容を上位方向へシフトすると同時に正論理のデータをレジスタの最下位ビツ
トに取り込む。また」ストローブの立上りエッジで値を確定する。各信号の波形を
確定後のシフトレジスタの値はどれか。観測した結果が図のとおりであるとき.-
数値は16進数で表記している。-で,
テー
ストロー
クロック
時間
53
正しいものはどれか。"
"22","次の回路の入力と出力の関係として,
入力出力出力入力
1
出力入力入力出力
Ａ
Wl-lelel.
どのコード体系を選択コードから商品の内容が容易に分かるようにしたいとき"
"23","するのが適切か
連番コード桁別コード表意コード区分コード
13"
"24","H.264/MPEG-4AVCの説明として,適切なものはどれか。
51チャンネルサラウンドシステムで使用されている音声圧縮技術
携帯電話で使用されている音声圧縮技術
-ディジタルカメラで使用されている静止画圧縮技術
ウ
ワンセグ放送で使用されている動画圧縮技術"
"25","を用いて表した図の概念データモデルの解釈として適切なものはどれかUML
所属する
従業員部署
1オ0.米
ア従業員の総数と部署の総数は一致する
同時に複数の部暑に所属してもよい従業員は,
ウ所属する従業員がいない部署の存在は許されない。
どの部署にも所属しない従業員が存在してもよい。"
"26","表から""得点”学生ごとに全科目の点数の平均を算出し,平均が80点以上の学
生の学生番号とその平均点を求める。áに入れる適切な字句はどれか実線ここで
の下線は主キーを表す
得点(学生番号点数科目,
[SQL 文]
AVG(点数)SELECT学生番号
FROM得点
ＢGROUP.
>=80HAVING科目AVG(点数)
WHERE点数=80科目
=80HAVING学生番号AVG(点数）
-学生番号点数=80WHERE
15
関係から特定の属性だけを取り出す演算はどれか。関係モデルにおいて,"
"27","人射影[projectionア結合Gjoin
[union和ウ[selection]選択
アクテ五つの状態一つのトランザクションはトランザクションを開始した後,"
"28","を取り得るもアボート済ユミット処理中,コミット済)イブ・アボート処理中-
取ることのない状態遷移はどれかのときのとする。
遷移後の状態o移前の状態
アボー卜済アポー卜処理中
コミッ卜処理中ボート処理中
アボート処理中卜処理中コミツ
ユミット済卜処理中
16
２相ロツキングプロトコルに従ってロックを獲得するトランザクションＡ、Bを図"
"29","デッドロックが発生しないデータ処理順序はどれかのように同時実行した場合に,
の位置はアプリケーションプログラムでの命令発行時点を-こで,readとupdate
データX,Y,ZへのWへのは共有ロックを要求し・表す。また,データread
は各データヘの専有ロックを要求するupdate
read W
update X
update Y
update Z
4132
update Zread Wupdate Yupdate X
update Xread Wupdate Yupdate Z
update Xupdate Zread Wupdate Y
update zupdate Xreadupdate Y
10ビットノ秒の回線で接続された端末間で平均1Ｍバイトのフアイルを,"
"3010","M
転送秒ごとに転送するときの回線利用率は何んか。ファイル転送時には,ここで,
ト=106ビットとする.1Ｍビッ量の20％が制御情報として付加されるものとし
ウ工9:68.0-126.4
ドの送信動作として-適切なものはどれ"
"31","方式のCSMACDLANに接続されたノー
か.
これを受け取つ各ノードに論理的な順位付けを行い送信権を順次受け渡し
ア
たノードだけが送信を行う。
使用中でなければ送信を行う。各ノードは伝送媒体が使用中かどうかを調べ,
衝突を検出したらランダムな時間の経過後に再度送信を行う。
送信権を制御するための特殊なフレームを巡回さウ各っードを環状に接続して
これを受け取ったノードだけが送信を行う。せ,
タイムスロットを割り当てられたノードだけが送信を行う。
リピータハブ」レイヤ２スイッチレイヤ3スイッチのうメディアコンバータ・"
"32","レイヤ３スイッチだけがもつ機能はどれか。ち.
宛先アドレスに従って適切なLANポートにパケットデータリンク層において,
を中継する機能
LANポートにパケットネツトワーク層において,宛先アドレスに従って適切な
を中継する機能
信号を相互に変換する機能ウ異なる伝送媒体を接続し,物理層において
入力信号を全てのLＡＮポ一トに対して中継する機能物理層において,
18
をインターネツトに接続するシステムがあり;PC"
"33","LANに接続されている複数の
装置ＡのＷＡＮ側インタフェースには１個のグローバルＰアドレスが割り当てられ
ている。この１個のグローバルＰアドレスを使って複数のＰCがインターネツトを
利用するのに必要な装置Ａの機能はどれか。
利用者宅内
光ファイバ
PC
ケーブルインター
ONU装置Ａ
ネツ
PC
NAPT[IPマスカレード)7DHCP
ア
-パケットフィルタリング
PPPOE
を経由してポートプロキシサーバＢHTTPクライアントＡがポート番号8080の"
"34","8080にな宛先ポート番号が常にサーバＣにアクセスしているとき,Web番号80の
るTCＰパケットはどれか。
へのHTTP応答要求及びＣからＢアAからＢへのHTTP
ＡからＢへの日TTPＰ要求だけ
イ
ＢからＡへのHTTP応答だけ
ウ
応答要求及びＣからへのHTTPＢからＣへのHTTP
攻撃者が用意したサーバヌのアドレスが。サーバのに対応す"
"35","A 社 WebFQDN
るPアドレスとしてＢ社DNSキャツシュサーバに記憶された。これによって
ここで，Ａ社，Ｂ社の各従意図せずサ＝バ又に誘導されてしまう利用者はどれか。
業員は自社のDNSキャッシュサーバを利用して名前解決を行う。
Ａ社WebサーバにアクセスしようとするＡ社従業員
ア
イサーバにアクセスしようとするＢ社従業員-A社 Web
ウＢ社WebサーバにアクセスしようとするＡ社従業員
B社WebサーバにアクセスしようとするＢ社従業員"
"36","マルウェアの動的解析に該当するものはどれか。
検体のハッシコ値を計算しオンラインデータベースに登録された既知のマル
ウェアのハッシュ値のリストと照合してマルウェアを特定する.
検体をサンドボックス上で実行し,その動作や外部との通信を観測する。
ウ検体をネットワーク上の通信データから抽出し,さらに,逆コンパイルして取
得したコードから検体の機能を調べる。
-ハードディスク内のファイルの拡張子とファイルヘツダの内容を基に,拡張子
が偽装された不正なプログラムファイルを検出する。"
"37","WPA3はどれか.
通信の暗号化規格HTTP
イ通信の暗号化規格TCP/IP
ウWeしサーバで使用するディジタル証明書の規格
エ無線ＬANのセキュリティ規格
20
そのと者間で送受信する。方式のディジタル署名を付与して２"
"38","メッセージに RSA
きのディジタル署名の検証鍵と使用方法はどれか。
送信者がメッセージダイジェストからディジタル署名受信者の公開鍵であり,
を作成する際に使用する。
受信者がディジタル署名からメッセージダイジェスト受信者の秘密鍵であり・
を算出する際に使用する。
受信者がディジタル署名からメッセージダイジェス1送信者の公開鍵であり。
を算出する際に使用する。
送信者がメッセージダイジェストからディジタル署名送信者の秘密鍵であり,
を作成する際に使用する。
情報セキユリティにおいてバツクドアに該当するものはどれか。"
"39","Webサイトに, 当ド認証などの正規の手続が必要なアーアクセスする際にパスワー
該手続を経ないでアクセス可能なURL
TCPポートの中がらアクティブになインターネットに公開されているサーバの-
稼働中のサービスを特定するためのツールつているポートを探して,
ネツトワーク上の通信パケットを取得して通信内容を見るために設けられたス
イッチのLANポート
領域の大きさを超える長さの文字列を入プログラムが確保するメモリ領域に,-
ダウンさせる攻撃力してあふれさせ,
21"
"40","ファイルの提供者は,ファイルの作成者が作成したファイルＡ-を受け取りファ
を適用して算出した値Ｂとを利用者に送信する。イルAと,フアイルAにSHA-256
そのとき。利用者利用者が情報セキュリティ上実現できることはどれか。ここで
が受信した値Ｂはフアイルの提供者から事前に電話で直接伝えられた値と同しであ
リす改ざんされていないことが確認できているものとする。
値Bに SHA-256を適用して値Ｂからディジタル署名を算出し,そのデイジタル
署名を検証することによって,フアイルＡの作成者を確認できる。
そのディジタル」値B に SHA-256を適用して値Ｂからディジタル署名を算出し。
署名を検証することによって,ファイルＡの提供者がファイルＡの作成者である
かどうかを確認できる。
ウその値と値Ｂを比較することにを適用して値を算出し,ファイルAにSHA-256
よって，フアイルＡの内容が改ざんされていないかどうかを検証できる。
ファイルＡにSHA-256を適用して値ファイルＡの内容が改ざんされていても,
を算出したその値と値Ｂの差分を確認することによって,フアイルＡの内容のう
ち改ざんされている部分を修復できる。"
"41","検索サイトの検索結果の上位に悪意のあるサイトが表示されるように細エする攻
撃の名称はどれか。
DNSキャッシュポイズーングSEOポイズニングア
イ
ウクロスサイトスクリプティングソーシャルエンジニアリング
エ
22
内部セグメントの三DMZ.外部セグメント;1台のファイアウォールによって,"
"42","ニのネットワークにおいてつのセグメントに分割されたネットワークがあリ・
重要なデータをもつデータベースサーバから成るシステムを使ってサーバと,Weh.
インターネットからの不サービスをインターネットに公開する。Web.利用者向けの
正アクセスから重要なデータを保護するためのサーバの設置方法のうち・最も適切
データベースサーバのフロントエンドサーバでは,Web.なものはどれか。-ここで
及びＤＭżとDMz との間,外部セグメントと処理を行い・フアイアウオールでは,
外部セグメントと内部セグメントとの間の通信は特定のプロトコルだけを許可し;
内部セグメントとの間の直接の通信は許可しないものとする。
DMzに設置する。Webサーバとデータベースサーバを
ア
Webサーバとデータベースサーバを内部セグメントに設置する。1
データベースサーバを内部セグメントに設置する。WebサーバをDMZ -.
ウ
データベースサーバをDMZに設置する。We5サーバを外部セグメントに,
エ
の機能はどれかEvent ManagementInformation andSIEMSecurity"
"43","サーバへの通信などの振る舞C&C.隔離された仮想環境でフアイルを実行して,
いを監視する。
管理者による分析と対応を様々な機器から集められた口グを総合的に分析し;
支援する。
ネットワーク構成やセキウーネットワーク上の様々な通信機器を集中的に制御し,
ユリティ設定などを変更する。
通信先のアプリケーションプロクパケットのヘッダ情報の検査だけではなく
ラムを識別して通信を制御する.
3
の宛先に送信するとき電子メールをドメインＡ"
"44","の送信者がドメイン3送信者を
ドメインÅのメールサーバで認証するためのものはどれか。
APOPPOP3SヴSMIMESMTP-AUTH
構造化分析法で用いられる"
"45","図は,“Ｏ”DFDの例である。図中のが表しているも
のはどれか。
アクティビティデータストアア
イ
ウデータフロー工プロセス"
"46","モジュール結合度が最も弱くなるものはどれか。
できるだけ多くの機能を実現する。ニつのモジュールで,」
イニつのモジュール間で必要なデータ項目だけを引数として渡す。
ウ他のモジュールとデータ項目を共有するためにグローバルな領域を使用する.
呼び出したモジュールの論理を制御するた-他のモジュールを呼び出すときに,
めの引数を渡す
24
埋め込まれたエラーのうち埋め込まれたエラ一数をＳ,"
"47","エラー埋込法において,
発見されたエラー数を ｍ，埋め込まれたエラーを含まないテスト開始前の潜在エラ
一数をて,発見された総エラ一数をぁとしたとき、Ｓて・ｍ,れの関係を表す式は
どれか。
ウー＝テ
適切なものはどれか。テストで使用するスタブ又はドライバの説明のうち;"
"48","印刷を行うテスト対象モジュールからの戻り値の表示スタブは,
ア
スタブはテスト対象モジュールを呼び出すモジュールである。
イ
ドライバは」テスト対象モジュールから呼び出されるモジュールである。
引数を渡してテスト対象モジュールを呼び出す。エドライバは,
入カ項目を用いた複数の判断を含むプログラムのテストケ単一の入り口をもち。"
"49","適切なものはどれか命令網羅と判定条件網羅の関係のうち;ースを設計する。
命令網羅を満足しない場合がある判定条件網羅を満足しても
命令網羅も満足する。判定条件網羅を満足するならば,
判定条件網羅を満足する場合がある。ウ命令網羅を満足しなくても,
命令網羅を満足するならば,判定条件網羅も満足する。-
25
において,プラクテイスとして提唱されているものCeXtreme"
"50","XFProgramming
はどれか。
インスペクションイ構造化設計
ペアプログラミングウユースケースの活用工"
"51","ニつのアクティビティが次の関係にあるとき,論理的な依存関係はどれか。
“システム要件定義プロセス”が完了すれば,“システム方式設計プロセス”が開始
できる。
FF関係ア[Finish-to-Finish)
[Finish-to-Start)イFS関係
ウSF関係[Start-to-Finish)
SS関係[Start-to-Start]"
"52","クリティカルパスはあるプロジェクトの日程計画をアローダイアグラムで示す
どれか。
凡例
作業名
所要日数
・ダミー作業
了A,C,E,FイAD,G
ウB,E,FIB,EG
26
」ソフトウェア開発の見積方法のーつであるファンクションポイント法の説明とし"
"53","て，適切なものはどれか。
工数と工期を見積もる方法である.開発規模が分かっていることを前提として,
全分野に適用可能である。ビジネス分野に限らず。
過去に経験した類似のソフトウェアについてのデータを基にして,ソフトウ
エ
異なった部分は経同じ部分については過去のデータを使いアの相違点を調べ
規模と工数を見積もる方法である。験に基づいて,
ソフトウェアの機能を入出カデータ数やファイル数などによって定量的に計測
ソフトウェア規模を見積もる方法である。複雑さによる調整を行って。しょ
作業項目を単位作業項単位作業項目に適用する作業量の基準値を決めておき。
基準値を適用して算出した作業量の積算で全体の作業量を見積も目まで分解し,
る方法である。
人のメンバで構成されているプロジェクトチームにメンバ２人を増員する。次10"
"54","打合せの回数は何回増えるかの条件でメンバ同士が打合せを行う場合。
[条件]
打合せは１対１で行う。
１回ずつ打合せを行う。各メンバが,他の全てのメンバと：
42222112-
27
に該当するサービスマネジメントシステムに"
"55","PDCA方法論を適用するとき,Act.
ものはどれか。
サービスの設計,提供及び改善のためにサービスマネジメントシステム移行
を導入し,運用する。
サービスマネジメントシステム及びサービスのパフォーマンスを継続的に改善
するための処置を実施する。
合意する。サービスマネジメントシステムを確立し;文書化し;
方針、目的計画及びサービスの要求事項について,「サービスマネジメントシ
ステム及びサービスを監視測定及びレビューし;それらの結果を報告する。
適切なものはどれか。"
"56","システムの移行計画に関する記述のうち。
移行計画書には,移行作業が失敗した場合に旧システムに戻す際の判断基準が
必要である。
切替え直前に一括してデータの移行作業を実施移行するデータ量が多いほど。
すべきである。
ウ新旧両システムで環境のー部を共有することによって。移行の確認が容易にな
新旧両システムを並行運用することによって,移行に必要な費用が低減できる。
28
次のいずれかのインシデントの発生後事業継続計画で用いられる用語であり"
"57","事項までに要する時間を表すものはどれか
製品又はサービスが再開される。
事業活動が再開される(2
資源が復旧される3
RTOウRPOMTBFMTTR
最も適切なものはどれシステムテストの監査におけるチェックポイントのうち;"
"58","か
テストケースが網羅的に想定されていること-
テスト計画は利用者側の責任者だけで承認されていること-
テストは実際に業務が行われている環境で実施されていること-
テストは利用者側の担当者だけで行われていること
29"
"59","情報システム部が開発して経理部が運用している会計システムの運用状況を,経
営者からの指示で監査することになった。この場合におけるシステム監査人につい
ての記述のうち」最も適切なものはどれか。
ア会計システムは企業会計に関する各種基準に準拠すべきなので,システム監査
人を公認会計士とする。
会計システムは機密性の高い情報を扱うので,1システム監香人は経理部長直属
とする。
ウシステム監査を効率的に行うために,システム監査人は情報システム部長直層
とする。
独立性を担保するために,システム監査人は情報システム部にも経理部にも所
属しない者とする。"
"60","アクセス制御を監査するシステム監査人の行為のうち。適切なものはどれか。
保管した。ソフトウェアに関するアクセス制御の管理台帳を作成し;」
データに関するアクセス制御の管理規程を閲覧した1-
ウーネットワークに関するアクセス制御の管理方針を制定した。
ハードウェアに関するアクセス制御の運用手続を実施した。
情報化投資において"
"61","リスクや投資価値の類似性でカテゴリ分けし;最適な資源
配分を行う際に用いる手法はどれか。
ア3C分析イ1Tポートフォリオ
ウエンタープライズアーキテクチャベンチマーキング
30
自社の経営課題である人手不足の解消などを目標とした業務革新を進めるために"
"62","活用する。RPAの事例はどれか
事務照合のような標準化された定型作業を,業務システムなどのデータ入カ,
職員の代わリにソフトウェアで自動的に処理する。
製造ラインで部品の組立てに従事していた作業員の代わりに組立作業用口ボり
トを配置する。
画像解析のためのカメラ。JCタグ:人が接客して販売を行っていた店舗を。
子決済システムによる無人店舗に置き換える。
フォークリフトなどを用いて人の操作で保管商品を搬入：搬出していたものを,
コンピュータ制御で無人化した自動倉庫システムに置き換える
企業がマーケティング活動に活用するビッグデータの特徴に沿った取扱いとして,"
"63","適切なものはどれか。
不特定多数ソーシャルメディアで個人が発信する商品のクレーム情報などの,
によるデータは処理の対象にすべきではない。
サイトのアクセス履歴などリアルタイWeb.蓄積した静的なデータだけでなく。
ム性の高いデー夕も含めて処理の対象とする。
それらを分析することにデータ全体から無作為にデータをサンプリングして,
ノ
ようて全体の傾向を推し量る。
処データの正規化が難しい非構造化データである音声データや画像データは,
理の対象にすべきではない
31"
"64","システム開発の上流工程において-システム稼働後に発生する可能性がある個人
情報の漏えいや目的外利用などのリスクに対する予防的な機能を検討しその機能
をシステムに組み込むものはどれか。
ア情報セキュリティ方針-セキュリティレベル
ウプライバシーバイデザインエプライバシーマーク"
"65","非機能要件の定義で行う作業はどれか
(データ)の流れを明確にする。業務を構成する機能間の情報
-システム開発で用いるプログラム言語に合わせた開発基準標準の技術要件を
作成する。
システム機能として実現する範囲を定義する。
他システムとの情報授受などのインタフェースを明確にする。
リレーションシップマーケティングの説明はどれか"
"66","顧客との良好な関係を維持することで個々の顧客から長期間にわたうて安定し-
た売上を獲得することを目指すマーケテイング手法
数時間から数日間程度の短期間の時間制限を設け,その時間内だけネット上で
商品を販売するマーケティング手法
スマートフォンのGPS機能を利用し,現在地に近い店舗の広告を配信するマー
ケティング手法
消費者への多角的なアつテレビ,新聞雑誌などの複数のメディアを併用し,
ローチを目指すマーケティング手法
32
バランススコアカードの内部ビジネスプロセスの視点における戦略目標と業績評"
"67","価指標の例はどれか。
持続的成長が目標であるので,受注残を指標とする。
クレーム件数を指標とする。主要顧客との継続的な関係構築が目標であるので。
イ
製品開発領域の研修受講時間を指標とす製品開発力の向上が目標であるので
る。
製造期間短縮日数を指標とする。上が目標であるので,製品の製造の生産性向
適切なものはどれか技術経営におけるプロダクトイノベーションの説明として,"
"68","新たな商品や他社との差別化ができる商品を開発すること
技術開発の成果によって事業利益を獲得すること1
技術を核とするビジネスを戦略的にマネジメントするごと
ウ
エ業務プロセスにおいて革新的な改革をすること
ディジタルディバイドを説明したものはどれか。"
"69","情報通信機器を所有しPCなどの情報通信機器の利用方法が分からなかったり。
ア
情報の入手が困難な人々のことである。ていなかったりして
社会的又は経済的な格差につ高齢者や障害者の情報通信の利用面での困難が,-
誰もが情報通信を利活用できるように整備された環境のことながらないように,
である.
高齢者・障害者を含む全情報サービスなどを情報通信機器やソフトウェア
ウ
利用しやすくなっているかの度合いのことである。ての人が利用可能であるか
社会的又は経情報リテラシの有無や1の利用環境の相違などによって生じる,
済的な格差のことである。
33"
"70","""かんばん方式”を説明したものはどれか。
各作業の効率を向上させるために,仕様が統一された部品,半製品を調達する。
関連会社から部品を調達する。1効率よく部品調達を行うために,;
中間在庫を極力減らすために,後工程の生産に必要な部ウ生産ラインにおいて;
品だけを前工程から調達する。
より品質が高い部品を調達するために部品の納入指定業者を複数定め,競争
入札で部品を調達する。"
"71","ブロックチェーンによって実現されている仮想通貨マイニングの説明はどれか。
ア仮想通貨取引の確認や記録の計算作業に参加し報酬として仮想通貨を得る
仮想通貨を売買することによってキャピタルゲインを得る。
イ
ウ仮想通貨による送金を行う。個人や組織に対して
実店舗などで仮想通貨を使った支払や決済を行う"
"72","インターネットを活用した仕組みのうち;クラウドファンディングを説明したも
のはどれか
Webサイトに公表されたプロジェクそのリターンとトの事業計画に協賛して」
なる製品や権利の入手を期待する不特定多数の個人から小口資金を調達すること
Webサイトの閲覧者が掲載広告からリンク先のＥCサイトで商品を購入した場
広告主からそのWéサイト運営者に成果報酬を支払うこと合
ウ企業などが委託したい業務内容をWé5サイトで不特定多数の人に告知して
募集し適任と判断した人々に当該業務を発注すること
複数のア力ウント情報をあらかじめ登録しておくことによって一度の認証で上
Webサービスのこと復数の金融機関の口座取引情報を一括して表示する個人向け
34
適切なものはどれか。生産現場における機械学習の活用事例として"
"73","アナリストが統工場における不良品の発生原因をツリ一状に分解して整理し
計的にその原因や解決策を探る。
ホストコンピュータがリアルタイムで制工場の生産設備を高速通信で接続し。
御できるようにする。
ロボトに対して作業方法をプログラミングするのではなく。工場の生産ロボツ
ット自らが学んで作業の効率を高める
一定の比率で単位累積生産量が倍増するたびに工場従業員の生産性が向上し,
コストが減少する。
適切なものはどれか。運用に関する記述として,の策定,(事業継続計画)"
"74","BCP
技術的に容易であることを基準に優先付けする1Tに依存する業務の復旧は,
ア
上級管理者だけに周知する。経営戦略上の重要事項となるので,計画の内容は,
イ
自社組織が行う範囲に限定する。計画の内容は,
ウ
情報システムの機器故障やマルウェア感染も検討範囲に含め自然災害に加え,
の果たすべき役割はどれか。"
"75","CIO
自部門のシステム化案を情報システム部門に提示する。各部門の代表として,
利用研究関連部門への教育などを実施する。情報技術に関する調査,
イ
経営戦略との整合性の確認や評価を行う全社的観点から情報化戦略を立案し,
ウ
'プロジェクトの運堂リーダシツプをもち。情報技術の知識,」豊富な業務経験
を管理する。
35"
"76","製品ｚ及びｆを生産するために２種類の原料Ａ,Ｂが必要である。個の生製品
産に必要となる原料の量と調達可能量は表に示すとおりである。製品メと了の1個
当たリの販売利益がそれぞれ100円,150円であるとき最大利益は何円か
製品×の1個製品了の1個
原料調達可能量
当たりの必要量当たりの必要量
100
80
」5,0006,0007,0008,000"
"77","ROIを説明したものはどれか。
一定期間におけるキャッシュフロー(インフロー,に対しアウトフロー含む
現在価値でのキャッシュフローの合計値を求めるものである。-
一定期間におけるキャッシュフロー（インフローに対しアウトフロー含む）
合計値がゼロとなるような,-割引率を求めるものである。
投資額に見合うリターンが得られるかどうかを,利益額を分子に,投資額を分
母にして算出するものである
投資による実現効果によって投資額をどれだけの期間で回収可能かを定量的
に算定するものである。"
"78","売上高が100変動費が60百万円のとき,百万円固定費が30百万円掛かる。変
動費率固定費は変わらないものどして,目標利益18百万日を達成するのに必要な
売上高は何百万円か
ア108ウ120156180
36
ソフトウェアの使用許諾契約が成立するのはどシュリンクラップ契約において;"
"79","の時点か。
購入したソフトウェアの代金を支払った時点
ソフトウェアの入うたDVD-ROＭを受け取った時点
ウソフトウェアの入ったDVD-ROMの包装を解いた時点
ツラトウェアをPCにインストールした時点
製造物責任法の対象となるものはど"
